post;id;category
Учиться чтобы не отчислили - несложно, учиться на хорошие оценки - чуть сложнее (надо посещать все занятия, делать дз, готовиться к КР, дружить с преподами и т.д), а чтобы реально шарить и познать суть бытия, а не только иметь хорошие оценки за глаза, надо целыми днями упорно ботать, сидеть за книгами, учебниками и решать задачи. В целом ПМ дает хороший фундамент, учит мыслить, учит учиться, решать задачи, вставляет мозги, при этом большинство дисциплин как раз для этого.К чему прикладывать математику, решать вам. Практика практически всегда проходит в вузе, что-то типо научных работ (хотя хз, в зависимости от года обучения может быть по разному, но практика это не такая важная вещь в обучении, ее можно найти самому). Универ прикольный, много всяких плюх и есть возможность красиво и ярко провести эти лучшие годы студенчества. Это все мое личное мнение;49;0
Лучшая студенческая весна в моей жизни! Спасибо всем причастным за незабываемые эмоции и опыт!;50;0
"Средство называется ""съехать на квартиру"". А вообще лучше заказать нормального специалиста, он нормально потравит. А тот что от общаги, такое ощущение что просто святой водой поливает ходит 😅";131;1
Шикарный ремонт в общежитии 👍👍;132;1
В буфете СГТУ самые вкусные салаты 🥗!;133;1
в общаге зато тараканы есть;134;1
Студенты АПП ходят в куртках по корпусу и дрожат от холода, а к корпусу не подходят, а подкатываются на льду 😒🥶;135;1
А когда будет ремонт в общежитии  номер1 , страшное, тараканы везде, все стены ободраны, кошмар!!!!!;136;1
"Что же так подводите с общежитием. В приемной комиссии четко обещали: ""первокурсники заселяются100%!"" А на поверку что?";137;1
Ура! Теперь у нашего корпуса чисто!;138;1
Хочется выразить благодарность большому коллективу центра рационального питания, столовой Фармкорпуса КГМУ за их важный, ежедневный и ответственный труд! Всегда накормят, корректно обслуживают, рассказывают по блюдам, ингредиентам и начинкам. Столовая университета более чем востребована, что доказывает каждый день большой поток студентов и преподавателей. Рассматривается ли вопрос работы столовой по субботам ?;139;1
У нас итак печальное состояние туалетов,не усугубляйте положение);140;1
Фотографии общаг есть на сайте, все правдивые, в жизни лишь чуть чуть погрязнее на кухнях))  Все общежития отличаются по состоянию, какое-то лучше, какое-то хуже, но в целом все в хорошем, пригодном для жизни состоянии.  Есть тренажерки, фитнес залы, танцевальные/актовве залы, настольные тениссы, учебные комнаты. В общем, сможешь в общежитии заниматься не только сном, но и досугом  От общаги до самого дальнего учебного корпуса идти ≈15 минут  Тараканы есть, как в любой другой общаге мира. Но если будешь убираться в комнате, то твои встреяи с ними сведутся к самому минимуму 🙂  ;141;1
В общагах с каждый годом все хуже и хуже!;142;1
Создайте комфортные условия для студентов, чтобы можно было нормально готовится к парам! Сейчас ужас какой-то! В общагах постоянный шум, библиотека до шести и далеко от общаги и как нормально подговится!;143;1
лучше бы лавочки какие-либо поставили в 15 корпусе, сидеть негде на перемене, разве, что на подоконнике 🫠;144;1
Лучше бы о тарифах с нормальной скоростью договорились, а уж несколько тысяч на роутер с комнаты не проблема;145;1
Кому то в ОБЩАГЕ обещали «вкусную еду и приятное обслуживание»? Хороших условий всегда, конечно, хочется Но это все таки общежитие и мы в России  Я жила в хорошей общаге, живу в полне себе средней сейчас И не дается мне пока понимание людей, которые кричат как тут плохо;146;1
Самая вкусная столовая и самые лучшие сотрудники, работающие там ❤😍;147;1
Если бы ремонт в общежитиях делали своевременно, ставили в них кухни, а не вбухивали огромное огромное количество денег в новое здание, куда невозможно попасть ( ну окна, открывающиеся по кнопке бред же, ну зачем такое делать). И оборудование инженерам новое, а не гуманитариям все самое новое и красивое;148;1
Вот бы ещё велосипедистам в МГУ было где парковаться)) а то у того же 1го ГУМа к стоянке никак не подъехать, всё заставлено электросамокатами;149;1
ФДС - самая крутая общага!;150;1
Новые корпуса стилистически не гармонируют со старым основным корпусом!;151;1
"На территории университетского кампуса, в учебных корпусах очень много атмосферных локаций, мест, где можно сделать очень крутые фото. 
";152;1
Отличная общага, главное быть общительнее;153;1
Норм общага, тараканы есть. В душевой, если там несколько часов никого не было, попахивает.;154;1
"Общежитие очень сильно зависит от факультета. Учусь на экономическом, живу в центральном районе, общагу дали в конце сентября. Да и в целом существует 3 очереди выдачи комнат в общежитии, я попал во вторую. К середине октября все волны проходят. Они формируются по отдалённости и проблемам со здоровеьем. Бюджет или платка роли вообще не играет. Так что то, что пишут про ""после первой сессии"" далеко не всегда и не везде работает";155;1
Самое дешевое общежитие это 1. Это первопостройка студгородка. Раньше был пол паркет, сейчас щепки. Двери оббиты железом заплатками. Но теплое.В некоторых комнатах на первом этаже пол гниет грибок.;156;1
с нынешними ценами на аренду лучше заезжать в 9 общагу и жить с удовольствием) там вполне комфортно и удобное расположение;157;1
Чет заплесневелый какой-то корпус, запах постоянно неприятный;158;1
После бабаевской почувствуешь себя на Манхэттене.  Туалеты — пушка, 10/10. Не было еще случая, чтобы не было бумаги. В шаговой доступности продуктовые магазины.  Единственные минусы — узкие коридоры без сидений и спертый воздух.  Ставлю этому корпусу 8/10;159;1
Эстетика первого корпуса❤❤❤;160;1
Потому что это общежитие лучше всех;161;1
ребята, бегите от проживания в общежитии, в 4 по крайней мере. комендант неадекватная и не даст вам жить там!;162;1
"Общежитие как тюремные нары! Жила на 3 этаже, окна деревянные с огромными щелями, крыша постоянно протекала что и до нашего этажа затапливало. Ну и контингент конечно.
";163;1
Смешно, во второй общаге забыть про тараканов;164;1
Бассейн реально в не очень хорошем состоянии, мягко говоря, прям пошарпаный, ремонт прям жизненно необходим. Но вода хорошая, справедливости ради, не хлорированная.;165;1
Есть вещи, которые  никогда не поменяются, санитария в столовых и белоручки на студентах, которые не могут сделать сами себе хрючево. Так сказать, Инь и Янь.;166;1
так коменданты долбаебы которые утверждаются за счет студентов )))) правила выдумывают) ебаные мелкие человечешки ) пол общаги хуй пойми кого живет . особенно в 3 общаге) там есть заведующий ахуительный мужик, и комендант - попуск педант, которого пиздели все школьные годы и универские.;167;1
Быт прекрасен! живёшь в мире и с понимаем к тараканам, за два дня включаешь плитку на кухне, чтобы хоть чуть чуть нагрелась(но можно купить свою плитку и в комнате готовить), если будет холодно, потихоря проносишь обогреватель что бы не замёрзнуть в этом морозильнике. Ну и вишенка на торте, можно поесть грибов на 3-4-5 этаже.;168;1
Я жила в Дубках, по дороге это был полный пипец☠ 1,5-2 часа дорога перманентно, зимой иногда и правда около 3 часов выходило вечером Сейчас в Трилке, час ехать вообще с кайфом, никуда не торопишься, под автобусы не подстраиваешься, метро и элки ходят стабильно и часто (ну почти всегда, когда мцд-1 не выкидывает лютых приколов, но это не очень часто случается) По условиям, в целом, обычная, абсолютно адекватная общага, но зависит от состояния квартиры, в которую ты заезжаешь;169;1
Условия в общагах в целом так себе. Самому съехать если есть возможность лучше - качество жизни возрастёт и довольно сильно;170;1
Не стипендии - а смех, мотивация для студентов - сумма трех походов в продуктовый;91;2
Класс, стоимость обучения сделали дешевле!;92;2
 ТюмГУ подарков не делает и новогодней стипендии нет В конце декабря приходит стипендия, которая должна бы прийти 4 января;93;2
"2 месяц нет стипы, нормально....... И опять будет отговорка ""техническая ошибка"" Сколько ждать блин";94;2
А почему стипендия обычная, не новогодняя? В прошлом году 5 было, в позапрошлом 10;95;2
Цены бы поменьше сделали бы для студентов.;96;2
Впервые за много-много лет в студенческий месяц стипендию выдали в однократном размере. Много лет в январе стипендия была двух- или трёхкратная.;97;2
Ага, и стипендия 2к. Студентам будто время есть работать, особенно первокурам. И как совмещать 😑;98;2
Где можно ознакомиться с перечнем стипендий, которые выплачиваются в вашем вузе и условиями их выплат? Маловата стипендия у вас для Московской области, в соседних регионах и то побольше.;99;2
Магистратура - это отлично! Но сейчас многие выбирают работу, вместо повышения квалификации. А знаете почему? Стипендия всего-то 1825 рублей в месяц. На такую сумму проживешь максимум пару дней, вот и приходится идти работать в ущерб образованию. А потом выпускаются неквалифицированные специалисты. Сергей Миронов предложил повысить стипендию до прожиточного минимума, считаю, что надо поддержать его в этом вопросе, иначе специалистов скоро не останется.;100;2
Как много разных стипендий😍😍;101;2
Предоставление стипендии в размере 1825 рублей вызывает сомнения и критику. Данная сумма явно недостаточна для обеспечения достойного существования молодого студента. В связи с этим студентам приходится искать дополнительные источники дохода, что негативно сказывается на качестве учебного процесса. Лидер партии СР Миронов, высказал предложение о повышении стипендий для студентов высших учебных заведений и введении льгот по оплате проживания в общежитиях. Данное предложение заслуживает поддержки, поскольку способствует более эффективному обучению студентов. Предлагаю выразить ему поддержку и содействовать в реализации этой инициативы.;102;2
Стипендии бы лучше повысили. 2т стипендия- одни слезы, даже на проезд не хватит, не то, что на хлеб.;103;2
Справедливости ради со стипендией не все так плохо;104;2
Да, к сожалению, академическая стипендия не высокая. Однако, Вы недостаточно осведомлены по поводу возможности получения повышенных стипендий, видимо, пишите про собственный опыт и какой-то блат.  Действительно учеба в приоритете, но многие студенты во всех вузах успешно подрабатывают и это возможно сделать без ущерба для учебы. Мы сами учимся и трудимся в сфере здравоохранения.;105;2
остается надеяться, что вернется то время, когда на стипендию можно было прожить месяц до следующей стипендии (конечно, широко не улыбаясь при этом). Это позволяло  погрузиться в учебу тем, кто был увлечен и/или хотел продвинуться в профессии, не отвлекаясь на подработку. Не представляю, как выкручиваются те, кому родители помочь не в состоянии. Да, я понимаю, что подрабатывают, но когда им учиться? В МГУ, меде и других вузах такие напряженные программы - не сравнить с теми временами, когда стипендия была как небольшая  зарплата. А уж при повышенной стипе можно было и на такси в универ катать;106;2
Предоставление стипендии в размере 1825 рублей вызывает вопрос: “ Как жить на эти гроши?” Предоставленная сумма безоговорочно мала для обеспечения для жизни молодого студента. Приходится искать источники дохода, что негативно воздействует на учебный процесс. Лидер партии СР Миронов, выставил инициативу о повышении стипендий и введении льгот по проживанию в общежитиях. Предоставленное предписание заслуживает поддержки. Предлагаю выразить ему поддержку и содействовать в реализации данной инициативы.;107;2
Будь стипендия не ниже прожиточного минимума, то конечно не стоит сдвигать фокус с учебы;108;2
Опять одни обещания... Тут он хоть про повышение стипендии не говорит - зато честно;109;2
А можно своих студентов поддерживать? Стипендии индексировать не на 136 рублей, например.   ;110;2
Да да, когда в Москве(!) стипендия 3 тысячи рублей, то всё дело, в том что неверная финансовая грамотность, полностью согласен, конечно не в том, что 3к это копейки, нет нет;111;2
на стипуху в общаге можно легко жить;112;2
 Надеюсь, что у него учеба не страдает из-за работы. А то жить на стипендию — смешно. 1825 рублей в месяц, что на них купишь? Пачку пельменей и конфеты к чаю, а как жить оставшийся месяц?   Студентам приходиться работать в ущерб учебе, а как иначе удовлетворять базовые потребности? А еще нужно платить за общежитие, и как, позвольте спросить? На это и обратил внимание Сергей Миронов. Он выдвинул инициативу, что нужно повысить стипендию до прожиточного минимума! Давно пора подумать и о студентах, за ними наше будущее!;113;2
Стипендия Профкома. Для меня это мотивация учиться лучше, так как нужен балл выше 4.5 А также приятный денежный бонус, что не может не радовать);114;2
С конца второго курса работаю по специальности Java бекенд разработчиком на 20 часах. Многие сокурсники тоже работают проггерами, но зачастую вообще фулл тайм, тяжеловато, особенно в этом году, но работяжим потихоньку в меру своих сил;115;2
Как мы на это должны жить? Раньше то маленькая стипендия была, а щас ещё и урезали. Очень интересно услышать ответ на этот вопрос.;116;2
Жить неделю на стипендию еще норм, а вы попробуйте прожить на нашу стипендию месяц;117;2
Социальные выплаты тоже снизили на 10к… Честно, я плакала, потому что теперь ни на что не хватает 🫠;118;2
Вполне достойная стипендия;119;2
На стипендию, которую выплачивают иностранным студентам, даже неплохо жить можно.;120;2
в столовой очень дорого;121;2
"Что за стипендия в Политеха. Зачем люди старались сдавали на ""5"" экзамены и диф зачёты. Почему нет разницы?";122;2
Стипендия в размере 1825 рублей — это посмешище. Как на эти денежные средства можно выжить молодому студенту? Молодежи приходится помимо учебы, брать подработки. А ведь для более качественного усвоения образовательной программы, необходимо уделять внимание исключительно учебному процессу. К большому сожалению, у наших студентов не всегда это получается. Вот и лидер партии СР подметил это. Миронов предлагает повысить стипендию студентам вузов и ввести льготы по оплате общежития. Я считаю, что это отличная идея. Поддержим вместе!;123;2
И плата за обучение тоже только вверх идёт (;124;2
Да-да, 3 тыс стипендии тебе, безусловно, решили б все твои проблемы , даже если их платили б…;125;2
За стипендию на полгода ты можешь оплатить где-то один месяц  проживания;126;2
"Е""учие перваки, из-за вас без стипухи сидим, в чем проблема в назначенный день прийти за картой?";127;2
Степендия в январе еще никому не приходила, и это бесит;128;2
 для студентов вроде меня, у которых стипухи хватает на 1 поход в магазин, подобные цены вызывают только испуг);129;2
 с деньгами не особо, стипендия аспиранта сейчас 10603 рублей. На мало что хватит...;130;2
Лучший институт, оставил след в моём сердечке навсегда🫶🫶🫶;51;3
Агрофак лучше всех🤙;52;3
Самый лучший университет и персоналы, уважаю ✊;53;3
Рад, что кафедра развивается и отстаивает честь вуза на самых разных мероприятиях🏃‍♂ ВУЦ, вперёд!🔥;54;3
Очень люблю наш университет и всех жду в Экониве💚🐮;55;3
обожаю Альма-матер в целом и ТРФ в частности😍😍😍😍;56;3
Поздравляю! Все молодцы!!! Лучший ВУЗ на всю страну (и не только) - это наш РязГМУ!;57;3
Самый лучший институт - ИСТиС!🫶;58;3
я благодарны нашему университету, за возможность представить свои разработки на слëте)));59;3
Гордимся успехами родного Университета!  Alma mater!👍;60;3
самый лучший факультет с самими лучшими людьми ❤🥹;61;3
это лучший институт  у нас свой гран при💜💜💜💜;62;3
полный караул!  куда смотрит ректор на такое безобразие!;63;3
Как же классно, что Академия дает возможность получить не только профессиональные знания, но и массу друзей, возможностей и эмоций 🌟👍;64;3
Юрий Ефимович гениальный музыкант и самый лучший ректор!!!! ❤;65;3
У меня слёзы, мурашки и гордость за самый лучший ВУЗ❤ Спасибо, Императорский!;66;3
Как приятно, что наша академия расширяет границы своего влияния (в хорошем смысле этого слова) и делится с каждым приятными новостями. Спасибо коллегам и нашим студентам за интересные  и нужные всем проекты. Мы-лучшие!;67;3
Мой любимый МосГУ❤️‍🔥 Лучший университет, где царит атмосфера знаний, творчества и тепла!🤍🙌🏻;68;3
Ничего страшного, там и пол семестра подождут, хотя от деканата зависит по большей части, но ФМА лучшие конечно💪;69;3
Замечательный ректор, достойный и деятельный руководитель!  Всего Вам наилучшего! 🌺;70;3
Горжусь родным вузом! 🫶;71;3
РГППУ- класс!;72;3
Спасибо!🥳 Мы очень счастливы быть частью такой большой и классной семьи РТУ МИРЭА💙;73;3
Я испытываю самые трепетные и тёплые чувства к вашему универу 😍! А все потому что у вас работают классные и интересные и умные люди! Я в восторге от руководителей кафедры вашего дорожного факультета! От их идей! Дайте им денег на реализацию их идей и проектов! Дайте им свободу их фантазии! России нужен асфальт с добавлением пластика!!!! Сделайте его уже ! Запатентуйте! И сделайте стандартным для каждой области!;74;3
Хотелось бы большей активности и сплочённости студентов В пору интернетов и соц сетей все стали более отстранены и замкнуты  Я вижу как универ и институты пытаются расшевелить народ, в то же время все нагружены учёбой Отвечая на вопрос: хотелось бы добавить доброты в мир.....;75;3
Военмех лучше всех 💙;76;3
С днем рождения, любимый ВУЗ, и не смотря ни на что - живи и развивайся. А мы с тобой всегда!!!!🌹🌹🌹;77;3
Умнички! РТУ МИРЭА оказывает помощь во всех уголках России!;78;3
Ректор сменился— и адекватные и студенты и сотрудники стали.;79;3
Военмех - лучше всех!;80;3
Я горжусь тем, что я закончила ДГТУ! Это самый лучший университет! И Самый лучший ректор!;81;3
Кто в цирке смеëтся, тот в НГУ не учился;82;3
МАИ - лидер среди всех вузов по количеству подготовленных космонавтов).;83;3
Круто, что так развивают РТУ МИРЭА🔥🔥🔥;84;3
отчисляйся,универ - днище полное, только выйграешь;85;3
"Наш вуз вопреки всему  ""живой"". Здесь классные люди, что студенты,  что преподаватели. Вообще, всё относительно - кому-то легко учиться, кому-то сложно. Зависит от самого человека,  от его отношения и, конечно же, от обстоятельств,  в которые он попадает. Наш вуз может стать  ""хорошей школой"" для Вас, и я сейчас не только про учебу. Если что, добро пожаловать! 😊";86;3
Если долго учиться, то можно чего-нибудь добиться. Не важно какой вуз. Но СГМУ - лучший! Больше научат практике, ну и на волонтерство не придется отвлекаться...;87;3
Ничего не работает и не решается. Этот вуз уже не спасти. ;88;3
Ну это СПбГУ - это статусно, но насколько на выбранном направлении будет актуальное и современное образование - большой вопрос;89;3
пол студентов в эту шарагу поступают и не знают для чего.;90;3
