post,id
"Студенты ждут препода в кабинете информатики. Заходит препод с прошлого семестра - Гребенкин.
(с) - О, а вы у нас и в этом семестре вести будете?
(г) - Да, если в бухгалтерии ничего не перепутали.",1087
"Ребят, дайте супер-средство , посылающие тараканов в космос или в мир иной , задолбали в общаге, ничто их не берет уже.",1013
"Уважаемая Ольга Витальевна поздравляю вас с днем преподавателя!
Хочу выразить Вам огромную благодарность за вашу помощь и поддержку ￼
Благодарю Вас за грамотное наставничество, за то, что даете знания и направление, в котором я смогу двигаться, за строгость, справедливость и веру в мои силы.
В моих глазах Вы — настоящий пример упорства и уверенности, смелости и целеустремлённости.
Я Вам желаю ,чтобы Ваши идеи всегда имели успех, чтобы Ваши творческие порывы завершались победой.
Оставайтесь вечным огнём знаний для студентов, будьте ярким солнцем в жизни близких людей.￼
Спасибо, что рядом ￼‍🩹",1126
"Дорогие коллеги. 
многие из вас уже в курсе совершенно дикой ситуации, вокруг Александра Цветкова - гидролога из Борка. Его с середины февраля содержат в СИЗО, потому что его лицо на 55% совпало с фотороботом какого-то рецидивиста. В общем, я не готова пересказывать всю эту дичь, следствие не верит ни родным, ни коллегам, ни документам. 
я не знаю, чем помочь, но вот создана петиция, мне кажется, что если её подписать, это хоть как-то поддержит и его самого и родных и коллег... 
ниже репост со страницы Марины - его жены. там все подробности. 
оговорюсь только - НИКАКОЙ ПОЛИТИКИ тут нет. совсем. 
Александра я знаю лично.
Н. Полякова",450
"дорогие дневные, 
пожалуйста, оставляйте вечерникам в туалетную бумагу в туалетах, это уже невозможно

анон",1325
"Вы юристы
Мораль и нравственность можете оставить там.. на кухне за бутылкой водки
Чувахин П.И.",389
"👍 Почему именно МИФиТ, мы узнаем у наших выпускников! 



""Я всегда видела математику своей сильной стороной, а в школе мне часто доводилось объяснять новые темы своим одноклассникам. Эти факторы и привели меня в ОмГПУ на факультет МИФиТ. Уже заканчивая ВУЗ, я понимаю, что ни разу не пожалела о своём выборе. Учиться было приятно и вмеру сложно, а студенческая жизнь разбавлялась красками благодаря активу факультета и профкому студентов ОмГПУ.""",1405
"Любовь к стоматологии!

Студентка 3-го курса стоматологического факультета Ольга Сороченко рассказывает об учебных буднях и интересных фактах.

«Почему именно стоматология? Ответ прост: в детстве приходилось общаться с врачами этой области, жутко их боялась. Но потом случился переломный момент в моей жизни, и я стала замечать, как стоматология наполняет любовью к себе каждую клеточку моего организма, захватывая разум, подчиняя сердце». 

«Если говорить о самой учебе, то ее можно описать так: сложно, но интересно! Самое главное, чтобы человеку было по душе то дело, которым он занимается».

«На занятиях мы разбираем теоретический материал, практикуемся на фантомном оборудовании, знакомимся с тем, как выглядят патологии на рентгеновских снимках, обсуждаем различные клинические случаи и присутствуем на хирургическом приеме».

«Врачи и преподаватели всё подробно рассказывают, показывают и объясняют, всегда идут навстречу студентам! И что тоже приятно − пациенты относятся к студентам, как к будущим специалистам, поэтому не против, если мы находимся рядом или помогаем врачу». 

«В фармацевтическом корпусе КемГМУ стоматологии отведен целый этаж. В учебных комнатах — новейшее оборудование, фантомы и установки, рассчитанные на каждого студента. Теория и практика, где ты можешь работать как самостоятельно, так и быть в одной из ролей: врач-ассистент-пациент».",698
"объясните мне просто, зачем нам взрослым людям физкультура в университете?",1355
"Когда ректор какого-нибудь кафе откроет точку в педе вместо столовой?",630
"Учёба на юрфаке, как уход в монастырь: ты всё своё время отдаёшь юриспруденции 
 , ЮИ",1142
"С: что делать если я не успеваю до конца пары практикум сдать?
П: очевидно плакать…
С: вообще я не плачу, но может быть, пущу скупую мужскую слезу.
П: буду ждать!
А.И. Светлов",1041
"Если на зачёте получите высокие баллы - вспомните меня добрым словом, скажите, преподаватель дал подготовиться. Если будут плохие результаты - меня не упоминать.
Палеха Р.Р.",472
"Леонид ФПфский выбирает факультет психологии! 🧡",689
"Ребят, ректор вообще адекватный? Мне одному кажется, или охране ср*ть на то, кто и с чем проходит в вуз? Кого-нибудь останавливали последнее время на проверку вещей? АНОН",1022
"Живу в общаге на Наумова. Задолбался каждый день тратить 100 рублей на такси, чтобы доехать до педа.
Может, когда-нибудь запустят автобус между корпусами педа и общагами?",484
"Анонимно, пожалуйста. 
Плачу, в 14 корпусе испортили буфет 😔
Убрали вкусную выпечку, запах теперь стоит как в школьной столовке. Малюсенькая мисочка салата из дешёвых ингредиентов - 140₽, где там профсоюзная скидка?! Кофе отвратительный, Греча с плесенью, микроволновку убрали. Одно расстройство, теперь буду покупать еду вне универа или готовить самостоятельно. Не советую и вам есть в этой хрючевальне.",212
"В Вузе мне не нравки Григорий Завалько, впринципе. Этот препод уже давно перестал быть чем-то для студентов, превратившись в Филиал Компартии. В ГУЛАГ свозить, пофаниться? Это он вам оформит, но если вопрос куда серьёзнее, наподобие вопроса построения справедливого общества или проблемы с распределением ресурсов он жидко пукнет в штаны, поохает и ничего не решит. Детский сад для леваков-долбаёбов.",265
"5 сентября в математическом парке РЕМШ первый российский лауреат премии Лилавати Николай Николаевич Андреев дал публичную лекцию «Математическая составляющая». С приветственным словом выступили ректор АГУ Мамий Д.К. и директор регионального центра выявления и поддержки одаренных детей ""Полярис-Адыгея"" Чумаков Р. Н. Лектор на трёх примерах показал красоту математики, рассказав почему размер листа А4 составляет именно 210 на 297 мм, как с помощью колебаний струны можно смоделировать любой звук, о большой скорости роста геометрической прогрессии. Студенты нашего кластера стойко перенесли холодную погоду ради такой интересной лекции.",14
"😍 Наши выпускники не забывают про Политех и возвращаются вновь. Почему мы так говорим? Об этом расскажет Михаил Шаповалов, который обучался по направлению 38.03.03 «Управление персоналом»:

— Хочу оставить небольшой отзыв о своем любимом университете и специальности «Управление персоналом». Я поступал в 2008 году, после окончания школы. Последние полгода активно выбирал университет и специальность. В итоге остановился на СамГТУ по совету друзей и знакомых. Я выбирал экономическое образование, планировал работать с людьми и заниматься своим делом. Поступил на инженерно-экономический факультет (тогда институт назывался именно так) на специальность «Управление персоналом».

Учеба проходила легко и интересно. Хочу отметить профессионализм преподавательского состава, в особенности своего любимого преподавателя и в будущем научного руководителя Чечину Оксану Сергеевну. Она привила мне интерес к научной деятельности, что оказалось очень интересным занятием. Посещал много научных конференций, олимпиад и форумов и писал статьи. В итоге закончил с «красным» дипломом в 2013 году.

После университета открыл уже несколько компаний в разных нишах общей численностью более 50 человек. Полученные знания очень помогают. В 2022 году решил расширить область собственных знаний и поступил в родной институт в магистратуру на профиль «Управление проектами в нефтегазовом комплексе», где и учусь по сей день, получая новые знания. Всем очень советую СамГТУ, особенно тем, кто хочет получить качественное экономическое образование.",1407
"Давно хотел дать огласку данному происшествию и даже не подозревал о наличии данного сообщества. 
дело в том, что ещё 13 сентября меня исключили из тьюторства «сотрудники» профкома. Какова причина? Назвал председателя профкома «никем». Мои бывшие подопечные в лице первокурсников попытались выяснить причину столь несуразного поступка, на что получили ответ- «это распространять нельзя, и вы должны смириться с этим». Однако это всего лишь забавная мелочь. Дальше в мою сторону посыпались угрозы в виде исключение из нашего горячо обожаемого Вуза, изувечиваний и всех тех вещей, что применяют люди, почувствовавшие в своих руках дольку власти. 
А также в комменты нельзя скидывать мемы, профкомовским не нравится( 
Анон",412
"анон
прихожу в мархи, спрашиваю номер администрации по, звоню, мне на полном серьезе говорят хз о чем вы, вас обманули, пока, прошу другой номер, мне говорят господи вы чего хотите, мы вас не понимаем, уходите
я плачу, здесь хоть кто-нибудь что-нибудь знает или как 😭😭😭",1288
"У наших студентов нет стипендии

Поступая к нам, ребята обычно рассчитывают на поддержку родителей, но чаще — на самих себя. Некоторые устраиваются в IT-компанию после первого семестра, другие — чуть позже. На втором курсе, как правило, все студенты имеют опыт работы по специальности.

Есть и те, кто ни копейки не берёт у родителей. Для таких ребят независимость и самодостаточность превыше всего. У них-то мы и решили спросить, каково это — учиться и жить без маминого перевода на карту. Ответы читайте в карусели.

К слову, в 2023 году размер базовой студенческой стипендии составил всего 1 967 рублей — в пересчёте на день около 66 рублей. Можно ли выжить на эти деньги? Вряд ли, разве что поставить над собой эксперимент: питаться бутербродами, ходить пешком и стирать одежду хозяйственным мылом. 

А вы смогли бы жить на такую стипендию? И вообще нужна ли она сегодня в вузах?",1118
"20 и 22 февраля 2023 года в МТКП МГТУ им. Н.Э. Баумана проходила демонстрация документального фильма «Обыкновенный фашизм» (режиссёр М.Ромм, киностудия «Мосфильм», 1965 г). Мероприятие было подготовлено и проведено заместителем директора по воспитательной работе С.Е.Поварнициной и специалистом по защите информации А.И. Медведевым. Целевая аудитория кинопоказа – студенты III и IV курса.",8
"А биофак - это навсегда!",19
"что делать если нравится один препод(((",1395
"Опубликуйте, пожалуйста, потому что не возможно больше!!! Предмет Налогообложение. Проверка практической работы ведется Месяцами. Полагаю, раз в месяц преподаватель заходит в предмет открывает практическую, возвращает с комментарием, что не полностью решена первая задача. Отправляю новое решение. Через месяц все повторяется, только уже проблема со второй задачей, третьей, четвертой ..... и так далее. Сдать предмет за весь период семестра не получается. Уточняющие вопросы по лекциям??!!! Забудьте! На них Вам вообще никогда не ответят. Что это за обучение такое? А? Анонимно.",794
"Паника. У вас бывало так чтобы вернули практическую работу в сессию из-за какого-то пустяка? Работу, которая была загружена на проверку в начале СЕМЕСТРА. Это все, что нужно знать. Анонимно",809
"Те, кто планировал получить Европейское приложение к диплому - расходимся, его больше Вуз не выдает. Как сматериться на китайском? Анон",1096
"Объясните мне, пожалуйста. Я не понимаю, чем руководствуются преподаватели, которые за практическую работу ставят НЕвыполнено, и не возвращают работу в черновики??? Они думаю, что студента устроит 2 за предмет??? Где логика?! Ну если есть ошибки в работе и не готовы ее принять, так верните на исправление. Зачем ставить Не выполнено и не давать возможности загрузить новый вариант?! Накипело. Анонимно.",789
"Всем привет. Объясните мне, пожалуйста, я видимо, что-то не понимаю 🙄 Поступила на дистант, потому что дети + дом + работа = не позволяют учиться заочно (классически) 😬 Как я рассуждаю. В течение семестра изучаю лекции, доп. литературу, просматриваю вебинары. А в сессию, когда мне предоставляют на работе законный ученический отпуск, выполняю все тесты, практические работы, курсовую. До сессии у меня нет времени этим заниматься, почему и выбрала такую форму обучения. И вот сижу я с кучей не проверенных преподавателями практических работ и неудами из-за этого по предметам, и думаю. Где я просчиталась? Вроде до поступления мне куратор объяснил, что так можно учиться. Но преподаватели не довольны, что в сессию отправляют студенты работы 😳 У меня не проверено больше половины письменных работ. Преподаватели не отвечают на форуме. И видимо, уже не будут ничего проверять. Меня отчислят? Как мамы с детьми и работой, успевают в течение семестра выполнять письменные работы? Поделитесь опытом! анонимно 🙏🏻",378
"Как можно закрыть долг по бизнес-финансам? Юдахина Ольга, которая преподаёт это, не идёт на контакт.",584
"на самом деле вы все не правы самые чудесные старосты любочка шахова и ксюшенька левина пора это признать</3",1348
"Всем привет. Кто-то знает почему так долго проверяют отчет по практике? Вторую неделю каждые 5 минут захожу в систему и листаю по всем вкладкам с документами 🤯 Не могу начать изучать новые предметы, потому что не могу на них сосредоточиться, очень переживаю из-за отчета и документов. Времени на исправления не остается. Анонимно.",375
"Я, аспирант ВолгГТУ, хочу поделиться своей историей. Один доцент моей кафедры из-за высокой загруженности переложил на меня проверку курсовой у одного студента, который уже год пытается ее сдать. И препод сказал мне: ""Когда будешь проверять, доброту сильно не проявляй. Если он сдаст курсовую, то через год станет твоим дипломником. А тебе это надо работать с такими тупыми?""",1276
